links001;;;;;;;;;;;;;;;
Date:;04.02.2008;;;;;;;;;;;;;;
Time:;16:29:01;;;;;;;;;;;;;;
Type:;;;;;;;;;;;;;;;
Description:;;;;;;;;;;;;;;;
Notes:;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;
120;Hz;;;;;;;;;;;;;;
;LUPA;;;LELB;;;LFRM;;;LSHO;;;LFIN;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
116;317,887575;-1301,044962;1393,560308;360,638233;-1342,679177;1255,315017;335,109508;-1377,171429;1126,928449;231,126021;-1205,990822;1539,490262;315,216172;-1381,8164;979,613733
117;311,762561;-1294,289604;1393,064459;353,693357;-1336,136155;1254,80315;327,117835;-1370,225614;1126,178701;226,592836;-1198,167864;1539,474398;306,765903;-1374,05216;978,904494
118;305,671251;-1287,415232;1392,576118;346,875348;-1329,734807;1254,25521;319,20033;-1363,199812;1125,667197;222,436462;-1190,377046;1539,066531;298,294343;-1366,317551;978,171531
119;299,995678;-1280,642474;1392,438569;340,336207;-1323,451414;1253,685274;311,354939;-1356,091845;1125,149516;218,387405;-1182,561042;1538,859698;289,954766;-1358,733289;977,688872
120;294,600562;-1274,013773;1392,370741;333,884774;-1317,058819;1253,22695;303,970363;-1348,956961;1124,601817;213,943224;-1175,09678;1539,035509;281,794902;-1351,204487;977,41669
121;288,960604;-1267,327376;1392,094172;327,104478;-1310,409043;1252,779523;296,729461;-1342,016169;1124,299745;210,154386;-1167,998195;1538,981997;274,050946;-1343,893964;977,538755
122;283,36154;-1260,468483;1391,656528;320,032794;-1303,594291;1252,206911;289,424493;-1335,133022;1124,152367;207,412869;-1161,081974;1538,773905;266,569738;-1336,664779;977,755061
123;278,144156;-1253,6433;1391,474339;313,300465;-1296,981826;1251,708857;282,489073;-1328,220436;1124,194297;204,52547;-1154,203763;1538,893368;259,015039;-1329,437776;977,876619
124;272,788165;-1247,033571;1391,590836;307,141931;-1290,577355;1251,584923;275,923329;-1321,520394;1124,204515;200,049982;-1146,55531;1539,197962;251,606392;-1322,475315;978,147992
125;267,209689;-1240,534611;1391,726791;301,265739;-1284,290832;1251,596754;269,374617;-1314,863026;1124,08601;194,323095;-1138,161046;1539,500939;244,499084;-1315,708909;978,535502
126;261,739592;-1233,969516;1391,789066;295,368066;-1278,078933;1251,532644;262,648634;-1308,195516;1124,246634;189,534169;-1130,354047;1539,900822;237,463892;-1308,875346;978,834542
127;256,354058;-1227,365492;1391,641845;289,303369;-1271,838919;1251,545308;256,065549;-1301,617248;1124,434498;185,587837;-1123,04201;1540,305505;230,489276;-1302,105177;979,08334
128;251,10488;-1220,827191;1391,605516;283,192872;-1265,678139;1251,530267;249,756834;-1295,076878;1124,454583;181,746161;-1115,7459;1540,58775;223,59345;-1295,438749;979,422911
129;245,909817;-1214,348709;1391,777689;277,322853;-1259,608806;1251,394934;243,514739;-1288,650074;1124,585354;178,214565;-1108,743976;1540,860317;216,630205;-1288,671981;979,611089
130;240,742198;-1207,909335;1391,953233;271,551049;-1253,400331;1251,332637;237,189321;-1282,205277;1124,797641;174,447085;-1101,72322;1541,04652;209,809749;-1281,901355;979,770572
131;235,584766;-1201,477487;1392,067856;265,648296;-1247,230372;1251,376542;230,747388;-1275,722179;1124,982325;170,462732;-1094,454619;1541,23796;203,247153;-1275,262679;980,034227
132;230,327318;-1195,126036;1392,072509;259,745202;-1241,314004;1251,484017;224,476732;-1269,409271;1124,988786;166,319244;-1087,041967;1541,348563;196,666519;-1268,701948;980,171605
133;225,067154;-1188,791144;1392,245088;253,812206;-1235,356262;1251,634425;218,302189;-1263,194062;1125,012322;161,955883;-1079,629501;1541,156605;189,551921;-1262,045319;980,527565
134;219,848366;-1182,532733;1392,479794;247,803138;-1229,295652;1251,72384;212,018898;-1256,925158;1125,156577;157,856074;-1072,457995;1541,069183;182,080394;-1255,348743;981,032565
135;214,660488;-1176,428648;1392,521554;241,962152;-1223,298137;1251,72343;205,753945;-1250,60957;1125,129576;153,920074;-1065,437533;1541,195331;175,307828;-1248,740875;981,058316
136;209,418657;-1170,100046;1392,512063;236,261749;-1217,346155;1251,700644;199,491576;-1244,401365;1125,146267;150,010032;-1058,28666;1541,2236;169,251623;-1242,18829;981,024293
137;203,97237;-1163,488808;1392,507284;230,176789;-1211,486946;1251,641866;193,177584;-1238,384816;1125,372439;146,064449;-1051,007074;1541,077225;163,277563;-1235,775317;981,05502
138;198,644886;-1157,060989;1392,62616;223,753161;-1205,618196;1251,547728;186,824857;-1232,283614;1125,43298;141,099493;-1043,215928;1540,499515;157,275502;-1229,463743;980,802619
139;193,405167;-1150,710498;1392,700372;217,708562;-1199,66138;1251,719827;180,396003;-1226,011062;1125,303667;135,908376;-1034,961609;1539,545699;151,346151;-1223,135924;980,600265
